representation,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,training_seconds,inference_ms_per_row
all retained features,Logistic Regression,0.8345,0.7703774981495188,0.1366926503340757,0.7014285714285714,0.2287977632805219,0.25890010562783367,0.8461722427831236,0.39410027601097986,16199,3101,209,491,21.623787000018638,0.03549337000004016
all retained features,Random Forest,0.9744,0.6659511472982975,0.8357142857142857,0.3342857142857143,0.4775510204081633,0.5191650622010188,0.8986837157660992,0.5501633952467312,19254,46,466,234,39.92359649998252,0.058374539999931585
all retained features,XGBoost,0.89805,0.8335936343449297,0.2220838522208385,0.7642857142857142,0.34416211000321645,0.3767140002500865,0.9111777942264988,0.5650727115946508,17426,1874,165,535,29.03267990000313,0.037000950000947344
all retained features,LightGBM,0.91995,0.8325499629903774,0.26718346253229974,0.7385714285714285,0.3924098671726755,0.4134805700839024,0.915361213915618,0.5993986833198124,17882,1418,183,517,21.87568709999323,0.04484373500017682
PCA-8,Logistic Regression,0.83285,0.7055033308660252,0.1157313172433847,0.5685714285714286,0.1923169847789321,0.20017837947441444,0.7886062176165802,0.20776742161339318,16259,3041,302,398,11.138919999997597,0.03494960999960313
PCA-8,Random Forest,0.971,0.6228867505551443,0.7631578947368421,0.24857142857142858,0.375,0.4254710414013887,0.8322477424130273,0.40835803633943984,19246,54,526,174,28.997471200011205,0.054483204999996815
PCA-8,XGBoost,0.81,0.7418504811250926,0.1159563924677899,0.6685714285714286,0.19763513513513514,0.22149207284339784,0.8263054034048853,0.3554564605359311,15732,3568,232,468,13.412159799976507,0.04011362500023097
PCA-8,LightGBM,0.84395,0.7463619541080682,0.13528171135884304,0.6414285714285715,0.2234386663349092,0.2433977969347764,0.8288206513693559,0.3627528625932771,16430,2870,251,449,13.116871400008677,0.040586875000735746
